Scenario,Method,Return rate,Violation rate,Survival (min),Shutdown rate (%)
S2,PI,-1453.1 \pm 723.8,267.7 \pm 265.1,222.8 \pm 64.7,99.0 \pm 2.2
S2,LinMPC,-2929.7 \pm 86.5,13.6 \pm 17.2,8.2 \pm 0.6,100.0 \pm 0.0
S2,C-SAC,-2036.6 \pm 1399.2,42.3 \pm 34.5,3.0 \pm 1.6,100.0 \pm 0.0
S2,MA-SAC,-1526.2 \pm 75.7,55.3 \pm 49.3,2.0 \pm 0.5,100.0 \pm 0.0
S2,NoShield,-1526.5 \pm 75.4,55.3 \pm 49.3,2.0 \pm 0.5,100.0 \pm 0.0
S2,AgentTwin,-1526.2 \pm 75.7,55.3 \pm 49.3,2.0 \pm 0.5,100.0 \pm 0.0
S4,PI,-1390.1 \pm 763.9,245.2 \pm 290.6,205.0 \pm 65.8,100.0 \pm 0.0
S4,LinMPC,-2832.8 \pm 55.3,6.7 \pm 4.3,8.7 \pm 0.2,100.0 \pm 0.0
S4,C-SAC,-2052.9 \pm 1428.9,40.7 \pm 32.5,3.0 \pm 1.6,100.0 \pm 0.0
S4,MA-SAC,-1537.3 \pm 77.6,56.7 \pm 52.2,2.0 \pm 0.5,100.0 \pm 0.0
S4,NoShield,-1538.0 \pm 77.0,56.7 \pm 52.2,2.0 \pm 0.5,100.0 \pm 0.0
S4,AgentTwin,-1537.3 \pm 77.6,56.7 \pm 52.2,2.0 \pm 0.5,100.0 \pm 0.0
S5,PI,-3586.3 \pm 251.0,338.4 \pm 102.2,9.1 \pm 0.8,100.0 \pm 0.0
S5,LinMPC,-2957.8 \pm 182.2,145.8 \pm 56.0,10.0 \pm 1.3,100.0 \pm 0.0
S5,C-SAC,-2012.2 \pm 1277.1,43.1 \pm 33.9,3.0 \pm 1.2,100.0 \pm 0.0
S5,MA-SAC,-1599.6 \pm 116.8,46.8 \pm 38.4,2.5 \pm 0.7,100.0 \pm 0.0
S5,NoShield,-1600.0 \pm 117.0,47.0 \pm 38.2,2.5 \pm 0.7,100.0 \pm 0.0
S5,AgentTwin,-1599.6 \pm 116.8,46.8 \pm 38.4,2.5 \pm 0.7,100.0 \pm 0.0
